Original_Rank,Person_Name,In_Degree (被標記數),Out_Degree (主動標記數),Mutual_Follow (互標數),Network_Influence_Score,Betweenness_Centrality,ig_url,followers,category,distinct_following
1,蔡阿嘎,146,50,3,73.36683417085426,0.005051,https://www.instagram.com/yga0721/,"5,893,570",趣味搞笑,0
2,Joeman,3,8,1,1.507537688442211,0.001777,https://www.instagram.com/joemanweng/,"3,987,069","美食料理,3C科技,趣味搞笑",0
3,黃阿瑪的後宮生活,0,0,0,0.0,0.0,https://www.instagram.com/fumeancat/,"4,118,794",寵物,0
4,千千進食中,9,3,2,4.522613065326634,0.0036,https://www.instagram.com/khshu_/,"3,609,387",美食料理,0
5,小象愛出門,0,0,0,0.0,0.0,https://www.instagram.com/elephant_gogo/,"1,160,238","美食料理,旅遊",0
6,那對夫妻,0,0,0,0.0,0.0,https://www.instagram.com/1006nk/,"4,578,282","趣味搞笑,家庭母嬰,表演藝術",0
7,How-Fun-如何爽,2,2,2,1.0050251256281406,0.0,https://www.instagram.com/howhowhasfriends,"2,758,663",趣味搞笑,0
8,PanSci-泛科學,0,0,0,0.0,0.0,https://www.instagram.com/pansci/,"1,900,400",知識教育,0
9,一隻阿圓,32,2,1,16.08040201005025,0.007377,https://www.instagram.com/nanaciaociao/,"1,734,796","美妝保養,時尚潮流,旅遊",0
10,欸你這週要幹嘛,0,0,0,0.0,0.0,https://www.instagram.com/arielsvlog_816/,"2,339,911",趣味搞笑,0
11,77老大,0,1,0,0.0,0.0,https://www.instagram.com/zamy_ding/,"2,808,129","醫療健康,知識教育",0
12,那個女生-Kiki,0,3,0,0.0,0.0,https://www.instagram.com/minikiki_0529/,"1,793,484","美食料理,知識教育",0
13,阿滴英文,14,38,2,7.035175879396985,0.006425,https://www.instagram.com/rayduenglish/,"4,987,120",知識教育,0
14,好味小姐,0,0,0,0.0,0.0,https://www.instagram.com/ladyflavor_nowpo/,"1,592,539","美食料理,寵物",0
15,廉傑克曼,2,5,2,1.0050251256281406,0.001624,https://www.instagram.com/jaychang0127/,"1,170,390",遊戲電玩,0
16,江老師,3,1,0,1.507537688442211,5.1e-05,https://www.instagram.com/teacherchiang,"1,343,583","表演藝術,時尚潮流,家庭母嬰",0
17,那些電影教我的事,0,0,0,0.0,0.0,https://www.instagram.com/lessonsfrommovies/,"3,862,684",影視評論,0
18,豆漿--Soybean-Milk,0,0,0,0.0,0.0,https://www.instagram.com/soybeanmilk_cat/,"1,835,218",寵物,0
19,Onion-man-洋蔥先生與阿文,20,4,2,10.050251256281408,0.00343,https://www.instagram.com/onionman__/,"3,133,655","表演藝術,趣味搞笑",0
20,人類超有病-Baxuan,0,1,0,0.0,0.0,https://www.instagram.com/baxuan_ig/,"2,789,691","表演藝術,趣味搞笑",0
21,大蛇丸,0,19,0,0.0,0.0,https://www.instagram.com/jam_cutepig/,"2,040,947",趣味搞笑,0
22,Andy老師,0,0,0,0.0,0.0,https://www.instagram.com/andy1994x/,"4,471,750","趣味搞笑,表演藝術",0
23,超認真少年-I'm-Serious,0,0,0,0.0,0.0,https://www.instagram.com/imseriou/,"1,219,271",知識教育,0
24,三原慧悟-Sanyuan_JAPAN,0,0,0,0.0,0.0,https://www.instagram.com/sanyuan_japan/,"2,199,000","旅遊,趣味搞笑",0
25,貓貓蟲-咖波,0,1,0,0.0,0.0,https://www.instagram.com/bugcat_capoo/,"6,539,880",表演藝術,0
26,Ian&Eric,5,2,0,2.512562814070352,0.002589,https://www.instagram.com/thedodomen/,"2,226,005","旅遊,趣味搞笑",0
27,黃氏兄弟,11,10,1,5.527638190954774,0.006599,https://www.instagram.com/huangbrotherss/,"3,051,036","趣味搞笑,表演藝術",0
28,我得了一種吃菜就會死的病-微疼,0,1,0,0.0,0.0,https://www.instagram.com/weiteng0710/,"2,509,942","表演藝術,趣味搞笑",0
29,琳妲-林羿禎,1,5,1,0.5025125628140703,0.000102,https://www.instagram.com/linda831212/,"2,688,159","表演藝術,趣味搞笑",0
30,白癡公主,2,3,1,1.0050251256281406,0.00231,https://www.instagram.com/87acup/,"3,796,221",趣味搞笑,0
31,KEOKI-BLACK布萊克薛薛,0,0,0,0.0,0.0,https://www.instagram.com/k3okii/,"1,200,469","旅遊,美食料理",0
32,厭世甜點店,0,0,0,0.0,0.0,https://www.instagram.com/energydessert2019/,"817,219",美食料理,0
33,陳彥婷,1,1,0,0.5025125628140703,5.1e-05,https://www.instagram.com/thetiffanychen/,"1,601,595",趣味搞笑,0
34,魚乾,4,3,1,2.0100502512562812,0.000609,https://www.instagram.com/annie72127/,"2,023,760","寵物,遊戲電玩,趣味搞笑",0
35,志祺七七,1,1,0,0.5025125628140703,0.000863,https://www.instagram.com/shasha77.daily/,"1,935,680","知識教育,時事討論,高階經理人",0
36,HOOK,2,0,0,1.0050251256281406,0.0,https://www.instagram.com/helloiamhook/,"2,877,515","寵物,旅遊,美食料理",0
37,木曜4超玩,2,1,0,1.0050251256281406,0.0,https://www.instagram.com/muyao4/,"3,229,080",旅遊,0
38,丹妮婊姐,0,0,0,0.0,0.0,https://www.instagram.com/dannybeeech/,"1,174,230","美妝保養,時尚潮流,趣味搞笑",0
39,泱泱LYNN,0,0,0,0.0,0.0,https://www.instagram.com/lynnwu0219_2/,"1,965,591",帶貨分潤,0
40,HahaTai-哈哈台,1,1,0,0.5025125628140703,5.1e-05,https://www.instagram.com/hahatai_official/,"2,018,440",趣味搞笑,0
41,丁特-Dinter,0,0,0,0.0,0.0,https://www.instagram.com/dinteroffical/,"1,600,408",遊戲電玩,0
42,彼得爸與蘇珊媽,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/peter_and_susan/,"741,306","旅遊,家庭母嬰,帶貨分潤",0
43,阿翰po影片,0,5,0,0.0,0.0,https://www.instagram.com/hanhanpovideo/,"2,812,701",趣味搞笑,0
44,愛里,0,0,0,0.0,0.0,https://www.instagram.com/allie.liao/,"1,135,265","知識教育,趣味搞笑",0
45,這群人-尼克,1,6,0,0.5025125628140703,0.00033,https://www.instagram.com/nickwang1988/,"1,466,257","趣味搞笑,表演藝術",0
46,蔡桃貴,1,33,1,0.5025125628140703,0.0,https://www.instagram.com/tsaigray2018/,"2,629,703","家庭母嬰,趣味搞笑",0
47,Ru's-Piano-Ru味春捲,0,0,0,0.0,0.0,https://www.instagram.com/ruruspiano/,"3,023,789",表演藝術,0
48,阿啾繪圖同萌,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/achu08177/,"2,064,380","表演藝術,趣味搞笑",0
49,黃大謙,1,3,0,0.5025125628140703,0.000871,https://www.instagram.com/da_chien_huang/,"2,073,696",趣味搞笑,0
50,愛莉莎莎-Alisasa,0,0,0,0.0,0.0,https://www.instagram.com/goodalicia/,"2,282,925","美妝保養,時尚潮流",0
51,見習網美小吳,4,4,1,2.0100502512562812,0.000812,https://www.instagram.com/beauty___wu/,"2,457,900","美妝保養,趣味搞笑",0
52,Charlene-Liu-查理,0,0,0,0.0,0.0,https://www.instagram.com/coindevanity/,"1,182,828","美妝保養,時尚潮流,旅遊",0
53,PEETA葛格,3,5,1,1.507537688442211,0.005964,https://www.instagram.com/peeta.gege/,"1,234,263",運動健身,0
54,波蘭女孩x台灣男孩-在家環遊世界,0,0,0,0.0,0.0,https://www.instagram.com/milasky_love/,"855,382","旅遊,美食料理",0
55,連環泡有芒果,0,24,0,0.0,0.0,https://www.instagram.com/corgimango/,"1,376,204","美食料理,寵物,趣味搞笑",0
56,Emma艾瑪,0,0,0,0.0,0.0,https://www.instagram.com/xollox121/,"2,021,109",運動健身,0
57,Aries艾瑞絲,2,0,0,1.0050251256281406,0.0,https://www.instagram.com/aries_8248/,"4,793,236","美食料理,表演藝術,趣味搞笑",0
58,蘿潔塔的廚房,0,0,0,0.0,0.0,https://www.instagram.com/rosalina.kitchen/,"3,126,002","美食料理,帶貨分潤",0
59,瑀熙-Yuci,1,1,0,0.5025125628140703,5.1e-05,https://www.instagram.com/uccu0323/,"3,371,994","旅遊,遊戲電玩",0
60,這群人TGOP,2,2,0,1.0050251256281406,0.000102,https://www.instagram.com/thisgroupofpeople/,"6,437,127",趣味搞笑,0
61,3cTim哥生活的日常,1,1,1,0.5025125628140703,0.0,https://www.instagram.com/3ctim/,"1,525,334",3C科技,0
62,百變沛莉-Peri,0,0,0,0.0,0.0,https://www.instagram.com/peri168/,"1,166,453","美妝保養,時尚潮流,家庭母嬰",0
63,鹿人,0,1,0,0.0,0.0,https://www.instagram.com/twodeerman/,"2,154,070","表演藝術,趣味搞笑",0
64,關韶文,3,0,0,1.507537688442211,0.0,https://www.instagram.com/ethan_kuan_kuan/,"1,108,765","美妝保養,趣味搞笑,表演藝術",0
65,健人蓋伊,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/gu_yuze/,"1,495,840",運動健身,0
66,GINA-HELLO!,0,1,0,0.0,0.0,https://www.instagram.com/ginachiki/,"1,866,192","美妝保養,時尚潮流,旅遊",0
67,我是老爸-我不要當爸!,0,1,0,0.0,0.0,https://www.instagram.com/daddy.iam/,"1,212,417","旅遊,美食料理",0
68,蛋事超有事EggThings,0,0,0,0.0,0.0,https://www.instagram.com/egg_things/,"1,842,817",表演藝術,0
69,雨揚樂活家族,0,0,0,0.0,0.0,https://www.instagram.com/yu.young_fate/,"1,345,502",綜合其他,0
70,肉比頭Zoebitalk,0,0,0,0.0,0.0,https://www.instagram.com/zoebitalk/,"1,030,757","旅遊,知識教育",0
71,現在宅知道,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/cb.otaku/,"528,036",遊戲電玩,0
72,人生肥宅x尊,0,0,0,0.0,0.0,https://www.instagram.com/loserzun/,"2,599,791","趣味搞笑,遊戲電玩",0
73,啾啾妹-by-LIIN,0,1,0,0.0,0.0,https://www.instagram.com/chuchumei__/,"2,012,172","趣味搞笑,設計創作",0
74,閃電狼Flash-Wolves,0,3,0,0.0,0.0,https://www.instagram.com/flashwolves2013/,"509,072",遊戲電玩,0
75,融融歷險記-Ben’s-Adventure,0,0,0,0.0,0.0,https://www.instagram.com/benwoooo/,"894,363",旅遊,0
76,星期天,0,0,0,0.0,0.0,https://www.instagram.com/sundayright_dub/,"1,273,443",綜合其他,0
77,Yun-Chou,0,1,0,0.0,0.0,https://www.instagram.com/riceandshine.co/,"1,593,142",家庭母嬰,0
78,MaoMaoTV,0,0,0,0.0,0.0,https://www.instagram.com/maomaotv/,"1,354,850",旅遊,0
79,Evelyn-Chen-理科太太,1,1,1,0.5025125628140703,0.0,https://www.instagram.com/liketaitai/,"2,387,970","醫療健康,時事討論",0
80,小A辣,2,1,1,1.0050251256281406,0.0,https://www.instagram.com/ala780705/,"2,843,019",趣味搞笑,0
81,兔女狼,0,0,0,0.0,0.0,https://www.instagram.com/colorfulinsideus/,"485,115",旅遊,0
82,有璟妍精요찡옌찡,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/602avenue/,"671,079","旅遊,美食料理",0
83,滴妹,30,7,1,15.07537688442211,0.0,https://www.instagram.com/crown_du/,"2,423,665","旅遊,美食料理,知識教育",0
84,莫彩曦Hailey,0,0,0,0.0,0.0,https://www.instagram.com/hailey_jane/,"2,231,047",綜合其他,0
85,星光奈奈,0,0,0,0.0,0.0,https://www.instagram.com/5inana/,"979,182","旅遊,表演藝術",0
86,Gary蓋瑞,0,0,0,0.0,0.0,https://www.instagram.com/gary.0917/,"872,819",遊戲電玩,0
87,Jason-Chen-陳以桐,0,0,0,0.0,0.0,https://www.instagram.com/jasondchen/,"5,827,634",表演藝術,0
88,台灣妞韓國媳,0,0,0,0.0,0.0,https://www.instagram.com/taiwanniu421/,"1,211,490","美妝保養,旅遊,帶貨分潤",0
89,cheap-鄭才暐,0,0,0,0.0,0.0,https://www.instagram.com/cheapaoe/,"1,819,617","遊戲電玩,時事討論",0
90,王宏哲教養、育兒寶典,0,0,0,0.0,0.0,https://www.instagram.com/wanghungche/,"1,982,132","家庭母嬰,知識教育,高階經理人",0
91,小葵-XiaoKui,3,0,0,1.507537688442211,0.0,https://www.instagram.com/miao11255/,"734,186",遊戲電玩,0
92,High咖-邱志恒,0,0,0,0.0,0.0,https://www.instagram.com/children0704/,"814,167",趣味搞笑,0
,Lobo-蘿蔔,0,0,0,0.0,0.0,,,,0
94,黃小米-Mii,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/lovemiihuang/,"1,004,034","美妝保養,時尚潮流,旅遊",0
95,鼻妹的廢話亂畫,0,0,0,0.0,0.0,https://www.instagram.com/bimay_nagging/,"829,503","表演藝術,趣味搞笑",0
96,Sandy-珊迪,0,0,0,0.0,0.0,https://www.instagram.com/sandykaka_/,"908,108","美食料理,寵物,遊戲電玩",0
97,魔術Channel---Davio,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/davio_magic/,"1,023,344",表演藝術,0
98,可可酒精,0,0,0,0.0,0.0,https://www.instagram.com/cocowine0205/,"853,725","美食料理,趣味搞笑",0
99,吃貨豪豪,0,0,0,0.0,0.0,https://www.instagram.com/martinispig/,"1,005,714",美食料理,0
100,電瀨少女-女孩的科技日常,0,0,0,0.0,0.0,https://www.instagram.com/aottergirls/,"1,696,911",3C科技,0
101,恩熙俊-aka-MC-Jeng,0,1,0,0.0,0.0,https://www.instagram.com/jengsu/,"955,113",美食料理,0
102,崔&雪莉&Jon,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/shirley_01_12/,"1,558,731",影視評論,0
103,鐵牛-Ironbull,2,0,0,1.0050251256281406,0.0,https://www.instagram.com/ironbullim/,"507,446","遊戲電玩,趣味搞笑",0
104,小尾巴,0,1,0,0.0,0.0,https://www.instagram.com/tiest0913/,"446,565","表演藝術,遊戲電玩,趣味搞笑",0
105,蔡哥,10,8,4,5.025125628140704,0.012762,https://www.instagram.com/tsaibrotherderboofan/,"685,495","表演藝術,趣味搞笑",0
106,Ciao!-Kitchen,0,0,0,0.0,0.0,https://www.instagram.com/ciao_kitchen/,"930,506",美食料理,0
107,超粒方,0,0,0,0.0,0.0,https://www.instagram.com/tesscube/,"1,516,587",影視評論,0
108,Sandy-&-Mandy,0,1,0,0.0,0.0,https://www.instagram.com/sandymandy_official/,"4,368,119",表演藝術,0
109,麻糬爸,0,0,0,0.0,0.0,https://www.instagram.com/mochi_dad/,"983,918",表演藝術,0
110,Six-Wang,0,1,0,0.0,0.0,https://www.instagram.com/6tan/,"719,070",遊戲電玩,0
111,Lilyflute長笛姐姐,0,0,0,0.0,0.0,https://www.instagram.com/lilyflute/,"575,346",表演藝術,0
112,Wecook123-料理123,0,0,0,0.0,0.0,https://www.instagram.com/wecook123123/,"1,686,717",美食料理,0
113,林進-飛醺卑鄙-fashion-baby,2,4,2,1.0050251256281406,0.000203,https://www.instagram.com/lingin1209/,"2,522,901",趣味搞笑,0
114,泥泥汝niniru,0,0,0,0.0,0.0,https://www.instagram.com/niniru621/,"737,905","美妝保養,遊戲電玩",0
115,艾爾文,0,0,0,0.0,0.0,https://www.instagram.com/alvin701/,"1,563,768",知識教育,0
116,DE-JuN,0,0,0,0.0,0.0,https://www.instagram.com/de.jun_666/,"2,496,068",遊戲電玩,0
117,小熊-Yuniko,0,0,0,0.0,0.0,https://www.instagram.com/yuniko0720/,"723,962","3C科技,遊戲電玩,旅遊",0
118,IFBB-Pro-Lin-Ching-Chieh-林敬傑,0,0,0,0.0,0.0,,"566,318",運動健身,0
119,Bobo-TV,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/bobo_kira/,"607,302",寵物,0
120,嘎嫂二伯,49,122,1,24.623115577889447,0.0,https://www.instagram.com/2uncle987/,"1,202,900","旅遊,家庭母嬰",0
121,找蔬食-Traveggo,0,0,0,0.0,0.0,https://www.instagram.com/traveggo/,"628,247","美食料理,趣味搞笑",0
122,我是阿樂-林妤臻,6,1,0,3.015075376884422,7.6e-05,https://www.instagram.com/alephant_0427/,"1,691,167","遊戲電玩,表演藝術",0
123,紀卜心-Kimi,1,5,1,0.5025125628140703,2.5e-05,https://www.instagram.com/eatzzz7/,"1,522,665","美妝保養,時尚潮流,旅遊",0
124,台灣吧,0,2,0,0.0,0.0,https://www.instagram.com/taiwan_bar/,"1,776,982","知識教育,理財創業",0
125,Patti-Huang,0,0,0,0.0,0.0,https://www.instagram.com/pattihuang/,"585,869","美食料理,寵物,趣味搞笑",0
126,強運少女日本日記RU-in-Japan/,0,0,0,0.0,0.0,https://www.instagram.com/kaoru_0409/,"548,777","旅遊,美食料理",0
127,邱沁宜,0,0,0,0.0,0.0,https://www.instagram.com/daisy.chiu/,"563,247","理財創業,高階經理人",0
128,阿淇博士-Dr.Achi,0,0,0,0.0,0.0,https://www.instagram.com/hithisisachi/,"614,509","美食料理,醫療健康,知識教育",0
129,J-Bao賤葆,5,4,1,2.512562814070352,0.001624,https://www.instagram.com/jbao_5000/,"1,652,165","趣味搞笑,旅遊",0
130,這群人-董仔,10,0,0,5.025125628140704,0.0,https://www.instagram.com/donehannah/,"668,474","表演藝術,趣味搞笑",0
131,Ines-Wang,0,0,0,0.0,0.0,https://www.instagram.com/inesinesw/,"1,026,129","美妝保養,時尚潮流,帶貨分潤",0
132,元-元,2,1,0,1.0050251256281406,0.0,https://www.instagram.com/1105ya/,"2,077,332",時尚潮流,0
133,史丹利視角的體育世界,0,0,0,0.0,0.0,https://www.instagram.com/stanley_sportslife/,"247,476",運動健身,0
134,豹子腿方昶詠,0,0,0,0.0,0.0,https://www.instagram.com/cyfang58/,"373,424",運動健身,0
135,羅小白,0,0,0,0.0,0.0,https://www.instagram.com/swhite523/,"1,797,351",表演藝術,0
136,阿慈車庫-Dream-garage,0,0,0,0.0,0.0,https://www.instagram.com/tzu_888/,"1,032,038",汽機車,0
137,痘疤醫生---莊盈彥醫師,0,0,0,0.0,0.0,https://www.instagram.com/dr.acne_scar_queen/,"922,505","知識教育,醫療健康",0
138,Men's-Game-玩物誌,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/mensgametw/,"871,207",3C科技,0
139,英雄日常Heroisme,0,0,0,0.0,0.0,https://www.instagram.com/20141010hero/,"1,424,527",遊戲電玩,0
140,飽妮,3,19,1,1.507537688442211,0.00033,https://www.instagram.com/bonibaobao/,"619,791",影視評論,0
141,咪妃Julia,1,3,0,0.5025125628140703,2.5e-05,https://www.instagram.com/juliamisakii/,"1,407,444","遊戲電玩,表演藝術,趣味搞笑",0
142,卡特-Kart,0,3,0,0.0,0.0,https://www.instagram.com/kart_wang/,"552,284","美妝保養,時尚潮流",0
143,囂搞-Shaogao,0,1,0,0.0,0.0,https://www.instagram.com/shaogao/,"1,686,541","表演藝術,趣味搞笑",0
144,籃靖玟,0,0,0,0.0,0.0,https://www.instagram.com/lan0716/,"888,181","旅遊,運動健身",0
145,Peter-Su,0,0,0,0.0,0.0,https://www.instagram.com/peter825/,"1,440,564","旅遊,知識教育",0
146,SMG-Sirenia海牛,0,0,0,0.0,0.0,https://www.instagram.com/manatee0701/,"1,033,337",遊戲電玩,0
147,Coffee-Time,0,0,0,0.0,0.0,https://www.instagram.com/coffee_time_corgi/,"956,197",寵物,0
148,魯蛋的頻道,0,0,0,0.0,0.0,https://www.instagram.com/ruwenwen/,"701,202",遊戲電玩,0
149,含羞草日記,0,0,0,0.0,0.0,https://www.instagram.com/xiucao.han/,"1,694,569","遊戲電玩,趣味搞笑",0
150,辣媽Shania,0,0,0,0.0,0.0,https://www.instagram.com/lamashania/,"710,899",美食料理,0
151,三個麻瓜,0,2,0,0.0,0.0,https://www.instagram.com/three_muggles/,"483,792",影視評論,0
152,傲嬌爸的養貓日常,0,0,0,0.0,0.0,https://www.instagram.com/uni_catto/,"337,191",寵物,0
153,胡采蘋-Emmy-Hu,0,0,0,0.0,0.0,https://www.instagram.com/emmy_on_earth/,"611,022",理財創業,0
,LoganDBeck-小貝,0,0,0,0.0,0.0,,,,0
155,林萱-Shiuan,0,0,0,0.0,0.0,https://www.instagram.com/1_shiuan_0/,"749,304","美妝保養,時尚潮流",0
156,日本藥妝失心瘋,0,0,0,0.0,0.0,https://www.instagram.com/japanuts/,"1,412,029","美妝保養,家庭母嬰,帶貨分潤",0
157,Campfire營火部落,0,0,0,0.0,0.0,https://www.instagram.com/campfire_tw/,"595,237",旅遊,0
158,BlaireChen-左撇子,0,0,0,0.0,0.0,https://www.instagram.com/blairechen/,"991,200","美妝保養,時尚潮流,旅遊",0
