Group,Person_Name,In_Degree (被標記數),Category
A,蔡阿嘎,146,趣味搞笑
A,蔡桃貴,1,"家庭母嬰,趣味搞笑"
A,嘎嫂二伯,49,"旅遊,家庭母嬰"
B,Joeman,3,"美食料理,3C科技,趣味搞笑"
B,3cTim哥生活的日常,1,3C科技
B,小尾巴,0,"表演藝術,遊戲電玩,趣味搞笑"
C,黃阿瑪的後宮生活,0,寵物
D,千千進食中,9,美食料理
D,Ian&Eric,5,"旅遊,趣味搞笑"
D,阿翰po影片,0,趣味搞笑
D,蔡哥,10,"表演藝術,趣味搞笑"
D,我是阿樂-林妤臻,6,"遊戲電玩,表演藝術"
E,小象愛出門,0,"美食料理,旅遊"
F,那對夫妻,0,"趣味搞笑,家庭母嬰,表演藝術"
G,How-Fun-如何爽,2,趣味搞笑
G,廉傑克曼,2,遊戲電玩
G,尤汐伯夷,2,遊戲電玩
H,PanSci-泛科學,0,知識教育
I,一隻阿圓,32,"美妝保養,時尚潮流,旅遊"
I,那個女生-Kiki,0,"美食料理,知識教育"
I,這群人-尼克,1,"趣味搞笑,表演藝術"
I,PEETA葛格,3,運動健身
I,飽妮,3,影視評論
J,欸你這週要幹嘛,0,趣味搞笑
K,77老大,0,"醫療健康,知識教育"
K,黃小米-Mii,1,"美妝保養,時尚潮流,旅遊"
L,阿滴英文,14,知識教育
L,貓貓蟲-咖波,0,表演藝術
L,HOOK,2,"寵物,旅遊,美食料理"
L,黃大謙,1,趣味搞笑
L,滴妹,30,"旅遊,美食料理,知識教育"
M,好味小姐,0,"美食料理,寵物"
N,江老師,3,"表演藝術,時尚潮流,家庭母嬰"
N,卡特-Kart,0,"美妝保養,時尚潮流"
O,那些電影教我的事,0,影視評論
P,豆漿--Soybean-Milk,0,寵物
Q,Onion-man-洋蔥先生與阿文,20,"表演藝術,趣味搞笑"
Q,大蛇丸,0,趣味搞笑
Q,志祺七七,1,"知識教育,時事討論,高階經理人"
Q,木曜4超玩,2,旅遊
Q,J-Bao賤葆,5,"趣味搞笑,旅遊"
Q,廚佛瑞德Fred,5,"美食料理,帶貨分潤"
R,人類超有病-Baxuan,0,"表演藝術,趣味搞笑"
R,健人蓋伊,1,運動健身
S,Andy老師,0,"趣味搞笑,表演藝術"
T,超認真少年-I'm-Serious,0,知識教育
U,三原慧悟-Sanyuan_JAPAN,0,"旅遊,趣味搞笑"
V,黃氏兄弟,11,"趣味搞笑,表演藝術"
V,彼得爸與蘇珊媽,1,"旅遊,家庭母嬰,帶貨分潤"
V,有璟妍精요찡옌찡,1,"旅遊,美食料理"
V,Bobo-TV,1,寵物
V,三個麻瓜,0,影視評論
W,我得了一種吃菜就會死的病-微疼,0,"表演藝術,趣味搞笑"
W,鐵牛-Ironbull,2,"遊戲電玩,趣味搞笑"
X,琳妲-林羿禎,1,"表演藝術,趣味搞笑"
X,羚小鹿,5,"美妝保養,旅遊,表演藝術"
X,Sunnie-陸筱晴,1,"美妝保養,時尚潮流,旅遊,美食料理"
